,date,Original,Predicted
0,2019-01-02,[378.5299988],[378.9994812011719]
1,2019-01-03,[364.88000489999996],[370.54864501953125]
2,2019-01-04,[341.9100037],[356.9674072265625]
3,2019-01-05,[381.7000122],[356.568359375]
4,2019-01-07,[340.5899963],[358.2290344238281]
5,2019-01-08,[348.0899963],[356.49420166015625]
6,2019-01-10,[352.0],[363.7767639160156]
7,2019-01-11,[352.7799988],[354.06805419921875]
8,2019-01-14,[351.230011],[354.49700927734375]
9,2019-01-15,[363.85000610000003],[368.5372619628906]
10,2019-01-16,[362.49499510000004],[375.89874267578125]
11,2019-01-17,[361.2999878],[363.8175048828125]
12,2019-01-18,[359.2099915],[364.967041015625]
13,2019-01-22,[362.3443909],[365.9654846191406]
14,2019-01-23,[360.25],[373.36053466796875]
15,2019-01-24,[363.05999760000003],[378.16400146484375]
16,2019-01-25,[387.25],[381.18804931640625]
17,2019-01-28,[386.5],[374.27587890625]
18,2019-01-29,[315.5],[371.1072082519531]
19,2019-01-30,[388.5],[390.1648864746094]
20,2019-01-31,[375.5],[388.17803955078125]
21,2019-02-01,[355.63000489999996],[380.88336181640625]
22,2019-02-04,[334.5599976000001],[362.8935241699219]
23,2019-02-05,[371.44000239999997],[365.8856506347656]
24,2019-02-07,[367.07998660000004],[365.9019775390625]
25,2019-02-08,[412.35000610000003],[362.7439270019531]
26,2019-02-10,[408.9599915],[378.6625671386719]
27,2019-02-12,[412.4700012],[381.50927734375]
28,2019-02-13,[415.5],[401.2289123535156]
29,2019-02-14,[418.13000489999996],[402.7528076171875]
30,2019-02-15,[421.57998660000004],[397.77325439453125]
31,2019-02-19,[419.70001219999995],[434.5726318359375]
32,2019-02-20,[427.5],[420.7837829589844]
33,2019-02-21,[425.5299988],[404.4669494628906]
34,2019-02-22,[427.3200073],[401.0436706542969]
35,2019-02-25,[438.0],[400.9842529296875]
36,2019-02-26,[318.9500122],[395.61737060546875]
37,2019-02-27,[389.69000239999997],[385.59051513671875]
38,2019-02-28,[376.07998660000004],[385.58135986328125]
39,2019-03-01,[338.2000122],[380.81512451171875]
40,2019-03-04,[354.5],[359.2696533203125]
41,2019-03-05,[353.86999510000015],[359.2427978515625]
42,2019-03-06,[366.2099915],[361.55242919921875]
43,2019-03-07,[352.7532043],[368.3839111328125]
44,2019-03-09,[378.10998539999997],[362.2342834472656]
45,2019-03-10,[374.89999389999997],[368.5036315917969]
46,2019-03-12,[370.89001460000003],[367.36273193359375]
47,2019-03-13,[370.98999019999997],[369.48681640625]
48,2019-03-14,[371.14001460000003],[366.37615966796875]
49,2019-03-15,[374.7000122],[365.85491943359375]
50,2019-03-18,[374.0400085],[358.3412780761719]
51,2019-03-19,[368.7900085],[356.4589538574219]
52,2019-03-20,[364.55999760000003],[357.4854736328125]
53,2019-03-21,[375.25],[360.0570068359375]
54,2019-03-22,[371.89001460000003],[356.7939758300781]
55,2019-03-25,[376.6600037],[360.014404296875]
56,2019-03-26,[376.5400085],[362.72723388671875]
57,2019-03-27,[316.4049988],[361.0054626464844]
58,2019-03-28,[388.5],[372.177490234375]
59,2019-03-29,[443.5],[383.17388916015625]
60,2019-04-01,[385.98999019999997],[386.4000244140625]
61,2019-04-02,[342.5700073000001],[378.97955322265625]
62,2019-04-03,[357.67999269999996],[365.6265869140625]
63,2019-04-04,[372.25],[365.6773681640625]
64,2019-04-06,[346.2200012],[372.55279541015625]
65,2019-04-09,[354.7000122],[366.0204772949219]
66,2019-04-10,[376.730011],[362.6431579589844]
67,2019-04-11,[376.51000980000003],[368.8080749511719]
68,2019-04-12,[384.10000610000003],[370.4420471191406]
69,2019-04-15,[377.519989],[366.13568115234375]
70,2019-04-16,[375.69000239999997],[374.618896484375]
71,2019-04-17,[375.5400085],[372.81195068359375]
72,2019-04-18,[377.89001460000003],[367.8226013183594]
73,2019-04-22,[376.01000980000003],[366.4818115234375]
74,2019-04-23,[383.89001460000003],[363.61627197265625]
75,2019-04-24,[378.48999019999997],[362.5011901855469]
76,2019-04-25,[379.5],[365.9822998046875]
77,2019-04-26,[400.75],[367.12847900390625]
78,2019-04-29,[430.5559998],[380.5250244140625]
79,2019-04-30,[398.14001460000003],[384.49639892578125]
80,2019-05-02,[346.2200012],[377.84881591796875]
81,2019-05-03,[354.0],[377.8874816894531]
82,2019-05-04,[332.4599915],[361.1991271972656]
83,2019-05-06,[360.14001460000014],[356.4323425292969]
84,2019-05-07,[355.230011],[358.7873229980469]
85,2019-05-08,[350.2200012],[358.649658203125]
86,2019-05-09,[344.51000980000015],[361.8233337402344]
87,2019-05-11,[339.89999389999997],[353.20758056640625]
88,2019-05-12,[340.0],[353.2162170410156]
89,2019-05-13,[348.64001460000014],[352.58221435546875]
90,2019-05-14,[351.5],[352.4706115722656]
91,2019-05-15,[353.0],[353.87237548828125]
92,2019-05-16,[358.17001339999996],[355.0121154785156]
93,2019-05-17,[357.2099915],[361.05218505859375]
94,2019-05-20,[345.92001339999996],[360.85357666015625]
95,2019-05-21,[355.0],[358.7085876464844]
96,2019-05-22,[355.2900085],[358.53460693359375]
97,2019-05-23,[352.5899963],[358.5688781738281]
98,2019-05-24,[350.0],[359.41241455078125]
99,2019-05-28,[345.85000610000014],[363.2554931640625]
100,2019-05-29,[411.2900085],[355.3876037597656]
101,2019-05-30,[429.6900024],[410.2937927246094]
102,2019-05-31,[367.88000489999996],[404.174560546875]
103,2019-06-02,[348.17999269999996],[387.27978515625]
104,2019-06-03,[333.98999019999997],[363.55743408203125]
105,2019-06-05,[361.5499878],[358.9612731933594]
106,2019-06-06,[358.85998539999997],[359.3309326171875]
107,2019-06-08,[347.73999019999997],[356.10687255859375]
108,2019-06-09,[347.25],[360.0870056152344]
109,2019-06-11,[348.0],[360.5744323730469]
110,2019-06-12,[348.61999510000015],[358.6256103515625]
111,2019-06-13,[357.60998539999997],[365.32318115234375]
112,2019-06-14,[375.39999389999997],[366.2838439941406]
113,2019-06-17,[373.0],[364.01470947265625]
114,2019-06-18,[374.39001460000003],[363.231689453125]
115,2019-06-19,[372.9500122],[374.9805603027344]
116,2019-06-20,[374.75],[377.2296447753906]
117,2019-06-21,[371.019989],[364.5218200683594]
118,2019-06-24,[367.5400085],[365.5421447753906]
119,2019-06-25,[363.92001339999996],[353.2325744628906]
120,2019-06-26,[329.7900085],[363.61737060546875]
121,2019-06-27,[407.42999269999996],[377.5804748535156]
122,2019-06-28,[423.01000980000003],[405.22259521484375]
123,2019-07-01,[366.32998660000004],[398.20208740234375]
124,2019-07-02,[352.2999878],[369.456787109375]
125,2019-07-03,[328.6000061000001],[360.1968078613281]
126,2019-07-05,[373.85000610000003],[361.7424621582031]
127,2019-07-06,[356.11999510000015],[368.8831481933594]
128,2019-07-08,[360.3250122],[363.9426574707031]
129,2019-07-10,[361.26000980000003],[366.49053955078125]
130,2019-07-11,[362.75],[367.36578369140625]
131,2019-07-15,[367.60000610000003],[366.7886047363281]
132,2019-07-16,[370.67001339999996],[362.51318359375]
133,2019-07-17,[376.230011],[366.1827392578125]
134,2019-07-18,[374.269989],[365.3723449707031]
135,2019-07-19,[370.2799988],[363.978759765625]
136,2019-07-22,[356.17999269999996],[359.2043151855469]
137,2019-07-23,[346.2000122],[358.88031005859375]
138,2019-07-24,[344.98999019999997],[355.1595153808594]
139,2019-07-25,[339.8399963],[354.022216796875]
140,2019-07-26,[348.48999019999997],[352.6858825683594]
141,2019-07-29,[334.25],[350.0997314453125]
142,2019-07-30,[400.0],[353.3778991699219]
143,2019-07-31,[416.63000489999996],[377.955810546875]
144,2019-08-01,[376.2000122],[384.3125915527344]
145,2019-08-02,[357.769989],[374.8509521484375]
146,2019-08-03,[350.4100037],[370.05340576171875]
147,2019-08-04,[331.1199951000001],[364.29571533203125]
148,2019-08-05,[371.1491089],[355.0091552734375]
149,2019-08-07,[356.39999389999997],[362.5317077636719]
150,2019-08-08,[331.8200073000001],[358.18157958984375]
151,2019-08-10,[328.3500061000001],[359.1455383300781]
152,2019-08-11,[323.0],[350.5198059082031]
153,2019-08-13,[330.2200012],[337.00103759765625]
154,2019-08-14,[334.17999269999996],[331.3096923828125]
155,2019-08-15,[332.4700012],[332.5848388671875]
156,2019-08-16,[335.480011],[344.4197998046875]
157,2019-08-19,[342.42999269999996],[352.4287109375]
158,2019-08-20,[356.908905],[358.4013366699219]
159,2019-08-21,[365.0400085],[359.68548583984375]
160,2019-08-22,[359.6329956],[356.7631530761719]
161,2019-08-23,[353.480011],[360.429443359375]
162,2019-08-26,[363.85000610000003],[359.9686584472656]
163,2019-08-27,[364.36999510000004],[365.02587890625]
164,2019-08-28,[342.69000239999997],[370.43798828125]
165,2019-08-29,[370.2900085],[370.6051025390625]
166,2019-08-30,[354.76000980000015],[366.74774169921875]
167,2019-09-01,[349.0499878],[359.941650390625]
168,2019-09-04,[334.0599976000001],[355.6187744140625]
169,2019-09-05,[357.980011],[349.9945068359375]
170,2019-09-07,[376.0],[359.92034912109375]
171,2019-09-08,[352.67001339999996],[367.9913330078125]
172,2019-09-09,[377.39001460000003],[367.56964111328125]
173,2019-09-10,[378.14001460000003],[375.4518737792969]
174,2019-09-12,[378.0400085],[384.83685302734375]
175,2019-09-13,[383.25],[375.74005126953125]
176,2019-09-16,[387.0899963],[378.000732421875]
177,2019-09-17,[384.10998539999997],[379.8164978027344]
178,2019-09-18,[377.0],[373.25201416015625]
179,2019-09-19,[379.5400085],[381.8495178222656]
180,2019-09-20,[384.9100037],[386.7549743652344]
181,2019-09-23,[387.10000610000003],[387.2432861328125]
182,2019-09-24,[388.19000239999997],[380.6495361328125]
183,2019-09-25,[383.0],[383.4073486328125]
184,2019-09-26,[346.5],[376.0126037597656]
185,2019-09-27,[368.39999389999997],[358.4925537109375]
186,2019-09-30,[351.86999510000015],[361.2102966308594]
187,2019-10-01,[356.0],[360.7106628417969]
188,2019-10-04,[354.51000980000015],[356.4932861328125]
189,2019-10-05,[359.69000239999997],[361.85760498046875]
190,2019-10-06,[373.7000122],[363.2348327636719]
191,2019-10-07,[350.019989],[368.0986633300781]
192,2019-10-09,[374.25],[366.5030822753906]
193,2019-10-10,[372.85998539999997],[371.1449890136719]
